Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Age,Gender
20,AZ-230-3428388,04-06-2015,07-06-2015,First Class,CU-22762,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-5439,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,460.43,2,0.2,17.34,56.85,High,19,Male
21,AZ-918-3663046,22-01-2014,28-01-2014,First Class,CU-54407,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-4114,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,249.29,1,0.0,58.46,38.58,High,47,Male
22,AZ-120-6499720,04-08-2014,10-08-2014,Second Class,CU-44701,Amazon Customer,Home Office,,Seattle,Washington,United States,EU,West,TEC-PH-5701,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",64.84,5,0.0,14.68,15.33,High,64,Male
23,AZ-266-7640913,31-12-2014,05-01-2015,First Class,CU-31653,Amazon Customer,Corporate,,Seattle,Washington,United States,EU,West,TEC-PH-7568,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",16.81,1,0.0,3.62,5.81,Critical,45,Female
24,AZ-487-4416664,01-09-2012,04-09-2012,First Class,CU-13477,Amazon Customer,Corporate,90001.0,Seattle,Washington,United States,US,West,TEC-PH-1997,Technology,Smartphones,"Motorola Edge Plus, Full Size",219.02,1,0.0,51.41,33.45,Critical,64,Female
25,AZ-415-4385357,31-07-2014,04-08-2014,Same Day,CU-47309,Amazon Customer,Consumer,,Seattle,Washington,United States,LATAM,West,TEC-PH-3569,Technology,Smartphones,"Samsung Galaxy S24 Ultra, Cordless",132.96,2,0.0,31.22,20.25,Critical,36,Male
26,AZ-341-2465689,28-11-2013,03-12-2013,Standard Class,CU-36035,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-6480,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",193.46,4,0.2,6.62,30.56,Low,23,Male
27,AZ-664-2825665,02-02-2013,04-02-2013,Standard Class,CU-71263,Amazon Customer,Corporate,,Seattle,Washington,United States,LATAM,West,TEC-PH-4389,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",146.42,4,0.1,19.58,23.79,High,44,Female
28,AZ-439-5056518,31-01-2013,06-02-2013,Same Day,CU-66742,Amazon Customer,Consumer,90001.0,Seattle,Washington,United States,US,West,TEC-PH-3292,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",212.57,3,0.6,-77.27,28.72,Medium,64,Female
29,AZ-527-5997895,09-10-2012,13-10-2012,Second Class,CU-89988,Amazon Customer,Home Office,,Seattle,Washington,United States,EU,West,TEC-PH-4750,Technology,Smartphones,"Motorola Edge Plus, Full Size",1128.39,3,0.2,42.17,142.49,Critical,64,Male
30,AZ-134-2870928,28-05-2014,30-05-2014,Standard Class,CU-66911,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-1696,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",344.17,2,0.1,46.97,46.57,High,52,Female
31,AZ-661-7249859,27-04-2015,03-05-2015,Second Class,CU-87239,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-7073,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,2270.02,3,0.0,539.6,279.01,Medium,22,Female
32,AZ-101-3305413,21-03-2013,23-03-2013,Same Day,CU-47259,Amazon Customer,Corporate,10001.0,Seattle,Washington,United States,EU,West,TEC-PH-9111,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",337.45,2,0.2,12.26,46.11,Critical,48,Female
33,AZ-665-6558019,17-02-2015,23-02-2015,Same Day,CU-79583,Amazon Customer,Home Office,,Seattle,Washington,United States,US,West,TEC-PH-4980,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,1201.94,5,0.0,285.53,149.6,Low,33,Male
34,AZ-921-1271836,31-03-2013,06-04-2013,First Class,CU-36251,Amazon Customer,Home Office,,Seattle,Washington,United States,APAC,West,TEC-PH-6506,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",577.41,3,0.0,136.93,74.21,Medium,20,Male
35,AZ-802-8281369,12-10-2012,17-10-2012,Same Day,CU-91247,Amazon Customer,Corporate,,Seattle,Washington,United States,APAC,West,TEC-PH-2279,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,946.25,4,0.0,224.75,118.12,Critical,27,Female
36,AZ-655-9585377,03-03-2014,08-03-2014,Same Day,CU-32916,Amazon Customer,Corporate,,Seattle,Washington,United States,APAC,West,TEC-PH-4103,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",314.46,2,0.0,74.62,39.97,Critical,49,Female
37,AZ-301-2271741,14-05-2014,18-05-2014,First Class,CU-14707,Amazon Customer,Home Office,90001.0,Seattle,Washington,United States,EU,West,TEC-PH-1670,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",1019.06,4,0.1,140.55,123.08,Medium,35,Female
38,AZ-369-4047262,01-07-2014,07-07-2014,Standard Class,CU-60779,Amazon Customer,Corporate,,Seattle,Washington,United States,APAC,West,TEC-PH-2797,Technology,Smartphones,"Nokia XR21 Smart Phone, with Caller ID",332.46,4,0.6,-120.57,42.1,High,60,Female
39,AZ-915-1564685,09-05-2014,14-05-2014,Second Class,CU-42245,Amazon Customer,Corporate,90001.0,Seattle,Washington,United States,US,West,TEC-PH-5630,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",657.41,5,0.1,90.15,84.61,High,66,Female
40,AZ-826-6596411,29-08-2015,04-09-2015,First Class,CU-38283,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-5062,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",1461.1,3,0.4,-237.18,180.15,Low,22,Male
41,AZ-801-5774183,16-08-2015,21-08-2015,First Class,CU-76795,Amazon Customer,Consumer,,Seattle,Washington,United States,Africa,West,TEC-PH-7069,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",52.92,1,0.0,12.16,10.66,Low,45,Female
42,AZ-824-9411855,08-08-2013,12-08-2013,Standard Class,CU-95507,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-9188,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,1046.71,3,0.0,248.71,129.69,Medium,38,Male
43,AZ-848-8807313,31-07-2014,02-08-2014,Same Day,CU-65654,Amazon Customer,Consumer,,Seattle,Washington,United States,EU,West,TEC-PH-7517,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",270.54,5,0.0,63.71,39.23,High,19,Female
44,AZ-978-3630708,10-01-2015,15-01-2015,First Class,CU-22134,Amazon Customer,Home Office,,Seattle,Washington,United States,EU,West,TEC-PH-2882,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",590.7,2,0.4,-96.08,74.78,Low,26,Male
45,AZ-891-6517209,30-04-2012,05-05-2012,Same Day,CU-19170,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-5083,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",88.86,4,0.0,20.99,12.27,Critical,52,Male
46,AZ-316-7723771,13-02-2012,18-02-2012,Second Class,CU-47656,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-1607,Technology,Smartphones,"Samsung Galaxy S24 Ultra, Cordless",537.18,4,0.0,127.52,67.7,Critical,20,Male
47,AZ-479-2285160,05-05-2012,11-05-2012,Standard Class,CU-32242,Amazon Customer,Consumer,90001.0,Seattle,Washington,United States,LATAM,West,TEC-PH-8925,Technology,Smartphones,"Nokia XR21 Smart Phone, with Caller ID",544.0,3,0.4,-88.61,70.07,High,47,Male
48,AZ-256-7080526,04-07-2013,08-07-2013,Second Class,CU-52167,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-2073,Technology,Smartphones,"Nokia XR21 Smart Phone, with Caller ID",465.92,5,0.0,110.58,59.01,High,42,Female
49,AZ-912-2425472,04-01-2015,08-01-2015,Standard Class,CU-41582,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-7556,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",627.77,3,0.1,85.78,83.89,Critical,59,Female
50,AZ-956-7556168,12-06-2012,18-06-2012,Same Day,CU-93538,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-9303,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",376.67,3,0.0,89.55,46.22,Medium,41,Male
51,AZ-443-2504384,19-12-2015,21-12-2015,Second Class,CU-54236,Amazon Customer,Consumer,,Seattle,Washington,United States,Africa,West,TEC-PH-2814,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",433.58,3,0.0,102.53,58.65,Critical,50,Female
52,AZ-747-7940119,23-02-2012,26-02-2012,Standard Class,CU-28477,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-2960,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,988.61,3,0.1,136.14,121.47,Medium,24,Male
53,AZ-162-2737095,20-08-2013,23-08-2013,First Class,CU-60833,Amazon Customer,Corporate,,Seattle,Washington,United States,APAC,West,TEC-PH-9285,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",103.36,4,0.0,24.26,15.84,Critical,46,Female
54,AZ-774-5780450,05-02-2012,09-02-2012,Same Day,CU-84940,Amazon Customer,Home Office,,Seattle,Washington,United States,APAC,West,TEC-PH-9524,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",508.15,3,0.1,69.54,66.84,Medium,59,Female
55,AZ-388-3109818,25-09-2015,30-09-2015,Same Day,CU-31062,Amazon Customer,Corporate,,Seattle,Washington,United States,EU,West,TEC-PH-1344,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,393.12,4,0.0,93.07,52.12,Medium,20,Female
56,AZ-872-3231785,13-09-2015,15-09-2015,Standard Class,CU-21308,Amazon Customer,Home Office,,Seattle,Washington,United States,US,West,TEC-PH-5366,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,695.53,4,0.4,-113.52,91.86,Critical,38,Female
57,AZ-330-4853339,08-08-2015,13-08-2015,Same Day,CU-59581,Amazon Customer,Consumer,,Seattle,Washington,United States,EU,West,TEC-PH-3217,Technology,Smartphones,"Samsung Galaxy S24 Ultra, Cordless",72.89,1,0.0,16.47,17.48,Critical,50,Male
58,AZ-234-1996107,16-06-2012,21-06-2012,First Class,CU-62240,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-1794,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",757.61,2,0.0,180.15,92.56,Critical,66,Male
59,AZ-132-5545583,03-04-2014,06-04-2014,First Class,CU-17566,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-1988,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,126.08,5,0.0,29.81,17.1,Medium,33,Female
60,AZ-602-4747389,09-02-2014,15-02-2014,Same Day,CU-30257,Amazon Customer,Consumer,10001.0,Seattle,Washington,United States,EU,West,TEC-PH-6268,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",1545.13,5,0.0,367.16,191.23,Medium,68,Male
61,AZ-827-8988004,10-07-2015,12-07-2015,Standard Class,CU-23686,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-8170,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",2915.93,5,0.0,693.4,355.81,High,29,Male
62,AZ-198-7245035,19-06-2013,22-06-2013,Same Day,CU-10650,Amazon Customer,Consumer,60601.0,Seattle,Washington,United States,EU,West,TEC-PH-6414,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",77.87,2,0.1,10.19,14.93,Medium,39,Female
63,AZ-971-6515989,11-05-2012,13-05-2012,Same Day,CU-40551,Amazon Customer,Home Office,10001.0,Seattle,Washington,United States,LATAM,West,TEC-PH-8115,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",602.19,4,0.2,22.42,76.88,Critical,43,Female
64,AZ-646-1491234,01-11-2014,03-11-2014,Second Class,CU-37305,Amazon Customer,Consumer,90001.0,Seattle,Washington,United States,LATAM,West,TEC-PH-4722,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,482.14,4,0.2,17.73,63.79,Medium,35,Male
65,AZ-712-6401218,17-02-2014,20-02-2014,Standard Class,CU-63853,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-3922,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,172.63,1,0.0,40.64,25.16,Low,37,Male
66,AZ-868-7914550,12-04-2014,15-04-2014,First Class,CU-82916,Amazon Customer,Home Office,,Seattle,Washington,United States,EU,West,TEC-PH-6586,Technology,Smartphones,"Samsung Galaxy S24 Ultra, Cordless",116.42,1,0.6,-42.55,18.03,Medium,33,Female
67,AZ-866-7906726,07-03-2012,12-03-2012,Same Day,CU-47884,Amazon Customer,Corporate,90001.0,Seattle,Washington,United States,US,West,TEC-PH-5537,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",998.48,5,0.4,-162.28,125.06,Critical,62,Female
68,AZ-894-8558158,24-03-2014,28-03-2014,First Class,CU-55994,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-6428,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,64.43,1,0.0,14.7,14.11,Low,45,Female
69,AZ-957-9511017,05-04-2012,07-04-2012,Second Class,CU-26442,Amazon Customer,Home Office,,Seattle,Washington,United States,APAC,West,TEC-PH-4584,Technology,Smartphones,"Motorola Edge Plus, Full Size",1009.51,4,0.4,-164.2,127.74,High,60,Female
70,AZ-991-1769598,30-04-2014,04-05-2014,First Class,CU-37275,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-8075,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,1088.86,2,0.0,258.76,134.59,Critical,44,Male
71,AZ-963-8971379,11-08-2014,15-08-2014,Same Day,CU-41688,Amazon Customer,Home Office,,Seattle,Washington,United States,US,West,TEC-PH-9674,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",77.22,4,0.0,18.17,11.31,Critical,22,Female
72,AZ-195-1874371,15-11-2014,21-11-2014,Standard Class,CU-26907,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-9146,Technology,Smartphones,"Motorola Edge Plus, Full Size",44.99,4,0.0,9.98,12.65,Medium,57,Male
73,AZ-833-1973548,26-09-2015,01-10-2015,Same Day,CU-26923,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-3326,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",1882.31,3,0.0,447.51,230.71,Low,41,Male
74,AZ-754-8064746,30-07-2013,03-08-2013,Same Day,CU-87485,Amazon Customer,Home Office,,Seattle,Washington,United States,US,West,TEC-PH-3728,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",246.22,3,0.0,58.42,31.4,Medium,35,Male
75,AZ-640-7216204,17-06-2013,21-06-2013,Standard Class,CU-86652,Amazon Customer,Corporate,60601.0,Seattle,Washington,United States,EU,West,TEC-PH-9849,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",326.09,4,0.2,12.04,42.61,Medium,33,Female
76,AZ-259-6193542,11-10-2013,16-10-2013,Standard Class,CU-63031,Amazon Customer,Corporate,10001.0,Seattle,Washington,United States,APAC,West,TEC-PH-5006,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",1342.97,3,0.0,319.53,162.1,Low,36,Female
77,AZ-798-5574293,30-01-2014,01-02-2014,Same Day,CU-21036,Amazon Customer,Consumer,60601.0,Seattle,Washington,United States,EU,West,TEC-PH-5607,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,480.66,2,0.0,114.01,61.6,High,60,Female
78,AZ-895-1043585,01-02-2014,07-02-2014,Second Class,CU-88975,Amazon Customer,Home Office,,Seattle,Washington,United States,LATAM,West,TEC-PH-5697,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",770.35,3,0.0,183.01,95.82,Low,43,Female
79,AZ-781-3539448,06-06-2013,11-06-2013,Same Day,CU-71381,Amazon Customer,Corporate,10001.0,Seattle,Washington,United States,US,West,TEC-PH-5432,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",330.59,2,0.2,11.96,45.7,Low,66,Female
80,AZ-745-9306461,07-01-2015,13-01-2015,Same Day,CU-86589,Amazon Customer,Corporate,30301.0,Seattle,Washington,United States,EU,West,TEC-PH-1708,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",632.76,4,0.2,23.49,81.47,Medium,29,Female
81,AZ-430-1542335,12-06-2015,17-06-2015,Second Class,CU-78380,Amazon Customer,Corporate,60601.0,Seattle,Washington,United States,US,West,TEC-PH-8098,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,214.18,1,0.0,50.63,29.18,High,68,Male
82,AZ-605-5270070,29-11-2012,02-12-2012,First Class,CU-62275,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-7378,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,35.2,1,0.2,0.76,10.01,Low,43,Male
83,AZ-447-4560920,18-10-2015,20-10-2015,Second Class,CU-79159,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-9790,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",72.21,2,0.2,2.27,13.36,High,58,Male
84,AZ-330-3484413,06-07-2015,11-07-2015,First Class,CU-75306,Amazon Customer,Home Office,,Seattle,Washington,United States,US,West,TEC-PH-1909,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",85.71,3,0.0,20.06,13.66,Critical,58,Male
85,AZ-324-6895544,21-02-2014,23-02-2014,Second Class,CU-13236,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-4094,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,806.01,4,0.0,191.61,98.97,Critical,65,Female
86,AZ-382-6697469,09-03-2013,15-03-2013,Standard Class,CU-63632,Amazon Customer,Consumer,,Seattle,Washington,United States,EU,West,TEC-PH-9640,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",404.39,1,0.1,55.12,55.43,Critical,32,Male
87,AZ-732-7908531,03-01-2012,09-01-2012,First Class,CU-46015,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-5147,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",308.6,4,0.0,72.37,47.76,Medium,57,Female
88,AZ-844-1402690,04-11-2012,10-11-2012,Same Day,CU-48123,Amazon Customer,Corporate,,Seattle,Washington,United States,LATAM,West,TEC-PH-2436,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",140.12,1,0.0,32.98,20.53,Critical,56,Female
89,AZ-458-3548421,08-03-2012,12-03-2012,Standard Class,CU-31246,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-6281,Technology,Smartphones,"Samsung Galaxy S24 Ultra, Cordless",214.05,1,0.1,29.29,28.2,High,53,Female
90,AZ-555-2954109,25-11-2012,30-11-2012,Same Day,CU-44699,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-6295,Technology,Smartphones,"Nokia XR21 Smart Phone, with Caller ID",22.17,1,0.2,0.27,8.42,Low,43,Female
91,AZ-776-5422880,27-03-2012,01-04-2012,Same Day,CU-75200,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-1269,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",645.1,2,0.0,152.95,83.25,Medium,59,Male
92,AZ-918-8205547,08-09-2014,12-09-2014,First Class,CU-90296,Amazon Customer,Consumer,60601.0,Seattle,Washington,United States,Africa,West,TEC-PH-3127,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",266.83,2,0.0,62.81,39.0,Low,40,Female
93,AZ-763-7457294,11-11-2012,17-11-2012,First Class,CU-72147,Amazon Customer,Corporate,,Seattle,Washington,United States,APAC,West,TEC-PH-5010,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",164.48,5,0.0,38.43,26.88,Low,18,Male
94,AZ-926-1061087,23-01-2014,28-01-2014,Same Day,CU-11265,Amazon Customer,Consumer,30301.0,Seattle,Washington,United States,APAC,West,TEC-PH-9151,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",1900.66,3,0.0,451.52,236.4,Medium,40,Male
95,AZ-707-7409907,20-09-2012,25-09-2012,Standard Class,CU-54779,Amazon Customer,Consumer,,Seattle,Washington,United States,EU,West,TEC-PH-5583,Technology,Smartphones,"Motorola Edge Plus, Full Size",465.72,3,0.2,17.37,59.18,Low,31,Male
96,AZ-212-1039353,09-10-2015,14-10-2015,Second Class,CU-10106,Amazon Customer,Home Office,,Seattle,Washington,United States,APAC,West,TEC-PH-5658,Technology,Smartphones,"Motorola Edge Plus, Full Size",176.65,3,0.0,41.63,25.37,Medium,44,Female
97,AZ-663-4360011,04-09-2012,09-09-2012,Second Class,CU-68068,Amazon Customer,Corporate,,Seattle,Washington,United States,APAC,West,TEC-PH-3642,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,66.39,1,0.6,-24.7,14.68,Medium,49,Male
98,AZ-609-5259622,08-01-2012,10-01-2012,Second Class,CU-73361,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-7730,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",479.17,4,0.4,-78.21,63.36,Medium,61,Female
99,AZ-485-6725570,10-03-2012,15-03-2012,Standard Class,CU-12035,Amazon Customer,Consumer,,Seattle,Washington,United States,EU,West,TEC-PH-2154,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",3920.23,5,0.0,932.19,478.65,Medium,68,Female
